Polymer,w_rho,w_cp,m,sigma,epsilon_k,MAPE_rho,MAPE_cp,MAPE_total,Tg,Tfusion
HDPE,2.0,1.5,3120.355238770948,4.01800572782799,248.45854005652697,0.17166519927678858,31.016499757007754,31.18816495628454,198.76683204522158,318.02693127235455
LDPE,2.0,1.5,2549.969822483169,5.5,251.87836205968551,0.0925631158571832,22.896566137932055,22.989129253789237,201.5026896477484,322.40430343639747
i-PP,2.0,1.3499999999999999,1975.9223774841576,5.5,250.290737339768,0.24926080768470177,8.796091808994845,9.045352616679546,200.2325898718144,320.3721437949031
s-PP,2.0,1.5,4168.717608715191,4.074091995562882,225.04063798677453,0.4607869646247889,14.197898599897224,14.658685564522013,180.03251038941963,288.05201662307144
a-PP,2.0,1.5,873.3471363845632,5.5,237.42835295200624,0.19959146713746523,2.374149425708585,2.5737408928460503,189.942682361605,303.908291778568
